SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,Energy,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out
465,"SOVKBMW12A8C140754",219160,"Thee Oh Sees Sucks Blood","ARHYNR9119B8668FA3",,"",,"The Oh Sees",0.0,162.37669,5,0.473,100.928,4,0.0,"It Killed Mom",0,9f3d2785-d2f4-4631-8599-63e5aa0b6ddb,0.0,0.561516206585,0.400952119314,0.0,5,0.473,-6.111,0,0.469,153.31
466,"SOZRIFJ12A67ADA4BE",70297,"Been There All The Time","AR9YWMS1187FB43A34",,"Amherst MA",,"Dinosaur Jr.",0.0,220.70812,2,0.191,253.357,4,0.506,"Been There All The Time",2007,77c167d2-4965-4421-830a-9815e4956475,0.0,0.749796959401,0.551552455156,0.136,2,0.191,-3.868,1,0.309,212.579
467,"SOQMIXU12A8C13C915",301400,"Our Lady... Kitty Kallen","ARBJC9U1187B9A70AC",39.95227,"Philadelphia PA",-75.16237,"Kitty Kallen",0.0,151.92771,5,0.546,86.961,4,0.911,"If You Smile At The Sun",0,0822ea07-20f8-4740-a97a-a827cb6ce883,0.0,0.458954416272,0.322125889014,1.135,5,0.546,-16.151,1,0.308,147.093
468,"SOPVFQR12AB0182066",443061,"Uh-Oh","ARMYKRB1187B98CFF0",,"",,"Cowboy Mouth",0.0,237.60934,9,0.624,103.218,4,0.64,"Disconnected",0,dfa7df17-e1dd-4ac2-ad3e-e109d404c0f4,0.0,0.681148022988,0.401992540093,0.369,9,0.624,-5.88,1,0.443,224.293
469,"SORAVAX12A8C137A3B",155729,"Some Things Never Change","ARKC83D1187B9AB367",,"",,"Mark Lowry",0.0,205.26975,7,0.811,143.898,4,0.154,"Jesus Laughing (Some Things Never Change Version)",0,c55b50e3-5f4e-461d-bf29-79d2c2c364c5,0.0,0.493926144686,0.319626775917,0.468,7,0.811,-7.874,1,0.724,194.949
470,"SOQDCHV12A6D4FC12D",124109,"Bad Azz","AR38I491187B9B2F2D",,"",,"Lil Boosie",0.0,243.35628,10,0.46,171.85,4,0.804,"I Remember (amended album version)",2006,8ba17cf6-bec2-4ae4-9820-b1cda47adc08,0.0,0.872325597018,0.535891042959,0.0,10,0.46,-3.165,1,0.339,231.282
471,"SOFNNDS12A8C138268",158386,"Violin Concerto_ Op.77 Etc.","ART8F8O1187B9A538D",,"Salzburg Austria",,"Herbert Von Karajan",0.0,1143.03955,10,0.939,171.78,5,0.685,"Variations Sur Un Theme De Haydn Op51",0,d2ced2f1-6b58-47cf-ae87-5943e2ab6d99,0.0,0.668055686858,0.464152439053,0.241,10,0.939,-20.536,1,0.515,1138.109
472,"SOEQPSU12AB0182FFB",330759,"We Were Enchanted","ARRVPI51187B9A1F1B",,"Colorado Springs CO",,"Roommate",0.0,367.01995,9,0.667,85.005,4,0.721,"Isn't Radio",0,d5a39cb6-2c54-4a7b-84e5-4f4f66bbc681,0.0,0.519342409064,0.330647740788,0.0,9,0.667,-7.494,0,0.574,352.63
473,"SOAGYNF12AB0187EEE",647942,"New Romantics","ARBFCK11187FB4C89B",36.17191,"LAS VEGAS Nevada",-115.13997,"Brian Eno And David Byrne",0.0,296.33261,1,0.379,118.203,4,0.373,"The Jezebel Spirit",1981,bf6e1d7a-511e-4131-b3c6-de49dcbb4ba2,0.0,0.615740353062,0.423608912639,0.334,1,0.379,-8.209,1,0.428,287.277
474,"SOEFDKH12A58A7BECD",234236,"Homenaje","ARRVUWA1187B9A0FE2",21.51102,"Cuba",-77.80679,"Orquesta Aragon",0.0,308.76689,9,0.849,91.548,5,0.573,"Eso No Tiene Remedio",0,be725fe7-b2e7-4c66-ad1d-6612055684ab,0.0,0.508731241151,0.332930951194,0.758,9,0.849,-13.143,0,0.585,303.775
475,"SOHAZVL12A8C142715",609374,"Philip Glass: Undertow","ARLIIVS1187FB5583B",39.29055,"Baltimore MD",-76.6096,"Philip Glass",0.0,289.4624,8,0.127,104.667,4,1.0,"The Kiss: Chris & The Model Airplane",0,5ae54dee-4dba-49c0-802a-a3b3b3adfe9b,0.0,0.711380095973,0.466224300345,0.194,8,0.127,-22.104,1,0.802,279.87
476,"SOQOVSL12AB01897AB",418586,"Dragonball Evolution","AR2EO6H1187B9A3B92",,"",,"Brian Tyler",0.0,52.87138,0,0.774,104.988,3,0.198,"I Dream Of Chi Chi",2009,23d89243-79c9-4afc-8db5-fce27e7ba78d,0.0,0.675295469456,0.442696719581,0.0,0,0.774,-19.963,1,0.721,48.797
477,"SOXPVJS12A8C1326A8",282022,"New Moon Shine","ARSF0K11187B9AF319",,"London England",,"James Taylor",0.0,280.81587,4,0.508,108.047,4,0.0,"One More Go Round",0,c5a69f1d-f4fc-42b1-9e99-5b3cd35406fa,0.0,0.826513628554,0.628228387313,0.0,4,0.508,-12.346,0,0.447,262.246
478,"SOCOMNU12AB017EFC2",602410,"Dances_ Prayers_ & Meditations For Peace","ARXJSHW1187B9A2A52",25.72898,"Miami FL",-80.23742,"Nestor Torres",0.0,294.53016,5,0.798,137.908,5,0.53,"Rhumboso",0,cdf09cd2-59e0-4953-839f-bea3bbb07b1b,0.0,0.485921285721,0.353156297467,0.293,5,0.798,-13.006,1,0.468,291.312
479,"SOKPIYN12A8C13F84F",520987,"The Dee Jays / Baby Talk - Best of","ARBIXZL12086C11573",,"",,"The Dee Jays",0.0,174.21016,4,0.948,114.375,1,0.0,"Dum Dum (Marble Breaks And Iron Bends)",0,cd0d4143-9471-4285-82ce-49e71e044547,0.0,0.3377360717,0.197089101337,0.0,4,0.948,-10.412,1,0.741,158.993
480,"SOLNHID12A58A78106",24239,"Step In The Arena","ARDSWIE1187FB39056",,"Boston Massachusettes",,"Gang Starr",0.0,84.63628,0,0.829,166.092,4,1.0,"Say Your Prayers",1991,9ef8042a-2528-4f5c-b7c1-5e72b1efe170,0.0,0.705870923838,0.491178953749,0.0,0,0.829,-18.7,1,0.672,72.464
481,"SOYDKWF12AB018A6B8",673258,"Maxi ambiance 50 titres","AR107SB1187B9A79F9",,"Bézu comme Superdupont ne connait qu&#039;un pays : la France !",,"Bézu",0.0,275.3824,7,0.507,133.64,4,0.718,"Le chacha des gorilles",0,85495572-8c41-4d3e-8e11-ba9142793adc,0.0,0.373850623044,0.148985480992,0.0,7,0.507,-11.428,1,0.539,268.411
482,"SOQKYWC12A8C136A4F",199694,"Meia-Noite","ARS8WH31187B9B8B04",,"",,"Edu Lobo",0.0,309.52444,2,0.239,84.853,1,0.094,"Canto Triste",1967,e02d67b8-b581-478e-be33-c988627e4050,0.0,0.344062158743,0.0,0.241,2,0.239,-18.581,0,0.303,297.001
483,"SOONSSK12A6D4F94E0",38352,"Sleep In Safety","ARB1CNO1187FB4CE93",,"",,"45 Grave",0.0,118.38649,9,0.067,173.581,4,0.004,"Surf Bat (Album Version)",1983,337027f4-4f29-42f4-bc4d-63e7d4e74e1a,0.0,0.59660238456,0.399186285296,0.438,9,0.067,-10.285,1,0.421,110.01
484,"SOQTSEW12AB0180ED2",407754,"Die besten Tage sind gezählt","AR2P71H1187B9B8C00",,"DE",,"Kool Savas",0.0,79.93424,6,0.0,81.224,5,0.647,"Warum rappst du?",2000,2e0d05e0-d147-46e6-be51-8ffed2a9e0da,0.0,0.603382767951,0.449423634694,0.0,6,0.0,-5.031,0,0.0,79.934
485,"SOFMQDK12AF729D3C8",557792,"Cuban Ballerina","ARATR0U1187B9B76D0",,"San Francisco CA",,"Dead To Me",0.0,145.55383,4,0.518,201.123,4,0.0,"Don't Lie",2006,7a52d619-ebb3-4f95-838f-fbdd4aba646d,0.0,0.710531387969,0.433728781426,0.259,4,0.518,-5.603,1,0.501,136.661
486,"SOCYBQD12A8C143029",378580,"The Trials Of Job","ARIOTFR1187B98F316",,"United States",,"Mykill Miers",0.0,263.3922,11,0.605,172.485,4,0.502,"Get Money",0,c859eb2f-563e-41fe-b034-a043faecf575,0.0,0.444184730365,0.326555905112,0.415,11,0.605,-3.889,1,0.265,251.664
487,"SOZFHFF12A6701E914",9552,"En las cosas del amor...","AR7BODP1187B9B7766",,"CANADA - Ontario",,"Abracadabra",0.0,144.90077,11,0.491,164.192,4,0.751,"Te estoy saboreando",0,f12da029-927a-4c72-9b60-103afdd740ac,0.0,0.442016128072,0.304972744724,0.131,11,0.491,-10.715,0,0.481,139.564
488,"SOAHFGP12A6D4FB62E",240395,"Chicago R&B [Parrot R&B]","ARCYJTW11F4C840F74",,"California",,"Orchids",0.0,175.98649,10,0.0,101.485,3,1.0,"You Said You Loved Me",0,,0.0,0.486047711424,0.380565167835,0.473,10,0.0,-11.91,1,0.219,169.268
489,"SOAZRCH12AB017A84D",484161,"The Reckoning","ART1R9I1187B9B3324",,"",,"Margaret Becker",0.0,261.04118,9,0.757,149.916,4,0.411,"Start The Fire",1989,ed20b805-2e45-4ccb-838d-56cfb3947a4c,0.0,0.54191773701,0.404157671026,0.694,9,0.757,-9.803,1,0.677,247.716
490,"SOQRFVZ12A8C13A4C6",159947,"Modelo Para Armar","ARJRQL51187FB541AB",,"",,"Juan Carlos Baglietto",0.0,220.99546,2,0.689,100.855,4,1.0,"Salzanitos",0,84f01d1b-ff47-4b26-bedb-2701ec5b2c9f,0.0,0.540881349196,0.38663083651,0.286,2,0.689,-13.743,1,0.644,213.357
491,"SOCDZMU12A8C13C256",298752,"Bully","ARF1PSM1187B9B802A",,"",,"Sugarbomb",0.0,219.74159,2,0.367,139.778,4,0.701,"Gone",2001,7f81f7b5-9250-44cb-b3e3-601cfc0aed50,0.0,0.484311162487,0.351841895697,0.566,2,0.367,-4.866,1,0.452,214.454
492,"SOKEBYL12A6D4F6FBF",25453,"Heroes And Villains","ARYYTAY1187B9B5F9D",,"Los Angeles CA",,"Paloalto",0.0,289.59302,4,0.725,152.0,4,1.0,"Seed",0,be3b8476-48d4-4ff9-9916-757638e8355d,0.0,0.567875031278,0.405596195348,8.702,4,0.725,-5.247,0,0.698,264.202
493,"SODIRMS12A8C140C52",701622,"Carrier Track","ARSBZSV1187B989B86",,"",,"Stress Assassin",0.0,229.53751,0,0.0,163.725,7,0.365,"EU A4",2003,6bb0bfbd-7f80-40d4-9bb8-4a1d6d0f4907,0.0,0.422386808625,0.319980032555,0.0,0,0.0,-11.957,1,0.0,219.777
494,"SORVXFP12A81C22116",180927,"Visão Futurística Do Passado","ARTP2PK1187B98FECA",,"",,"Quinteto Violado",0.0,202.47465,2,0.381,161.518,4,0.475,"Olha Pro Ceu",0,23c07df4-b3bb-42e8-8bea-098c0b09fb90,0.0,0.442818538003,0.320520135114,0.0,2,0.381,-6.852,1,0.392,192.337
495,"SOAGRTC12AC468B954",700059,"Strictly The Best Vol. 15","ARMPQIE1187FB3D4EB",,"Kingston Jamaica",,"Bounty Killer",0.0,227.5522,1,0.577,114.272,5,1.0,"Ask Fi War",0,42c7542e-71d1-488a-ba2f-9a368c9147f2,0.0,0.693287838551,0.393274491405,0.182,1,0.577,-7.113,1,0.46,222.848
496,"SOCEKJL12AAFF44A8E",771267,"We Are Enterprise: The Album to Benefit The Rebuilding of Enterprise High School","AR5OB9M1187FB52F29",,"Savannah TN",,"Darryl Worley",0.0,261.642,7,0.555,96.716,4,0.79,"Katie's Song",0,fac3bb7e-4e51-4fb7-85e4-741d69b6d779,0.0,0.757389969929,0.516764030267,2.351,7,0.555,-10.294,1,0.711,246.619
497,"SODXHIZ12A58A7A889",602374,"Texas Hold'em","ARY1K701187B9A43A9",,"",,"Joe McBride",0.0,314.06975,0,0.445,91.979,4,0.833,"One Eyed Jack",2005,a9f0fc9f-13a0-47aa-a7c3-f2d78013f7b6,0.0,0.49244072825,0.338946969158,0.165,0,0.445,-10.203,1,0.521,302.231
498,"SOKNFFM12A81C216F3",130398,"Gaia II","AR7ZI7Z1187B98BF55",,"",,"Mago de Oz",0.0,380.682,2,0.184,110.255,5,0.679,"Desde mi cielo",2005,fa3b825f-7c85-4377-b393-d28a2016e293,0.0,0.629751605102,0.53141175199,0.177,2,0.184,-7.736,1,0.476,341.769
499,"SONJFLA12AB018BB67",817892,"Lagian Ne Maujan","AR1ZHYZ1187FB3C717",,"",,"Faiz Ali Faiz",0.0,879.69914,3,0.0,141.231,3,0.017,"Lagian ne maujan",0,762e2728-f093-4548-8f36-f4580d83e207,0.0,0.36328057111,0.306676093479,0.0,3,0.0,-8.523,0,0.103,873.924
500,"SOYTIQH12AB0181485",337141,"Play Cool","ARRTP2G1187B9AF916",,"",,"Will Pan",0.0,235.85914,8,0.265,121.988,4,0.769,"Shuo Ni Ai Wo",0,d4cbfbd0-3b75-4430-9722-57c174901c83,0.0,0.516397804826,0.35944751217,0.287,8,0.265,-6.682,1,0.38,219.55
501,"SOJKLCP12AB0183BA1",520602,"Trace My Track","ARKN6D91187B9B09A2",,"",,"Speaker",0.0,188.29016,9,0.438,131.968,4,0.565,"Joking",1999,f7e61de8-f400-4900-a741-7a0c79191c34,0.0,0.693200053541,0.321237233791,0.611,9,0.438,-4.63,0,0.477,188.29
502,"SOXAOIN12A8C138D34",297013,"Greatest Hits","ARR5CEB1187FB5A3FF",,"",,"Restless Heart",0.0,210.46812,9,0.568,114.382,4,0.0,"That Rock Won't Roll",1986,f4c639bd-5f03-45ac-9d32-4937a4384723,0.0,0.632779015937,0.447206656844,0.421,9,0.568,-13.644,1,0.53,191.402
503,"SOAGRCT12AAF3B5E13",434249,"Match Box Blues","AR6DGPH1187B998587",35.83073,"Tennessee",-85.97874,"David Evans",0.0,250.56608,7,0.221,86.201,4,0.0,"Prison Bound Blues",0,e7543947-9735-4fd1-87f8-9c1740fa2cef,0.0,0.445661291144,0.248024686921,0.345,7,0.221,-9.422,1,0.386,241.662
504,"SOMLAJJ12A8C138EAC",262113,"Home For The Holidays","ARTF2KG1187B98DDD1",,"",,"Gold City",0.0,165.09342,7,0.627,194.028,4,0.406,"What Child Is This?",0,e434c190-2f7b-4256-97d1-4e0d8d825acf,0.0,0.596189938258,0.396521303082,0.316,7,0.627,-14.328,0,0.766,153.101
505,"SOAKDML12AB018208C",503347,"X Communication : Trilogy II","ARDPTGD1187B9AD361",36.87652,"Sikeston MO",-89.58828,"Brand X",0.0,292.5971,6,0.789,71.608,1,0.216,"Zero Db (drum solo by Frank Katz)",0,097c86bc-b2b6-4791-833b-39b5385fe3e6,0.0,0.601305751486,0.363675677051,2.235,6,0.789,-18.473,1,0.893,285.379
506,"SOWRBWU12A8C13969D",105411,"Fantasie [Deluxe Edition]","AR6896B1187B98FADA",,"",,"Paso Doble",0.0,327.83628,0,0.569,115.633,4,1.0,"Fantasie (Extended Version)",0,b99522ac-a4ff-4ec5-8a18-98695687a414,0.0,0.460250922106,0.0,4.023,0,0.569,-11.718,0,0.741,314.892
507,"SOIGNJY12A8C13AE1A",265303,"Wake The Sleeper","AR87K371187FB5AA8E",,"London England",,"Uriah Heep",0.0,212.84526,4,0.309,127.962,3,0.161,"Wake The Sleeper",2008,f1548c5b-329e-4036-921c-02213a04b525,0.0,0.67323869066,0.479204557694,0.0,4,0.309,-4.014,1,0.188,209.032
508,"SOMLFVN12A8C136135",150863,"San Juan Suite/San Juan Suite II: Narada Classics","ARTK5LU1187B9A654C",,"",,"Michael Gettel",0.0,330.97098,7,0.369,101.529,4,0.406,"Safe Passage",1996,d83529bf-6d3a-4c85-9c5f-e7c991c19956,0.0,0.510660236281,0.333770845165,2.148,7,0.369,-16.934,1,0.406,315.902
509,"SOMSHEH12AB017BA1F",331203,"Poolside : Mykonos","ARALUOY122988FD079",,"",,"Christos Kedras",0.0,321.64526,0,0.489,119.331,4,0.67,"Water Blazz (Chill House mix)",0,7f11c596-aaef-4cf8-afdf-d58065ed52b3,0.0,0.430160300006,0.132329285523,0.0,0,0.489,-7.717,1,0.509,321.645
510,"SOBCTDP12A6D4F7602",21200,"The Stooges [Deluxe Edition]","ARLR9U31187B9A71AD",42.32807,"Ann Arbor MI",-83.7336,"The Stooges",0.0,169.66485,11,0.755,148.458,5,0.444,"Not Right (Remastered LP Version)",0,794c6bf2-3241-416f-9b8f-24e2d84a1c4b,0.0,0.732603394424,0.497050958692,0.199,11,0.755,-3.968,0,0.557,156.636
511,"SOYERFU12A8AE48FD6",236630,"The Greatest Stars Of Folk Music","ARNMHWR11F4C83B384",43.87165,"Vermont",-72.45165,"Kingston Trio",0.0,199.94077,4,0.57,117.214,1,0.0,"Tom Dooley",0,,0.0,0.512779338299,0.295117193892,0.0,4,0.57,-17.9,1,0.338,188.981
512,"SOKQDQZ12A8C13BB10",112605,"Messiaen Oeuvres Orgue","AR342K51187B98B571",,"",,"Olivier Messiaen",0.0,647.60118,5,0.109,101.636,5,0.689,"Livre D'orgue (1951) : VII Soixante-Quatre Durées (Remasterisé En 2008)",0,c6e5c5f4-984e-432a-87b8-b6afa288bca1,0.0,0.59080451421,0.419100413034,0.404,5,0.109,-24.98,1,0.194,641.742
513,"SODHPQS12AC907282B",600648,"Hear Our Prayers O Lord","AREWQSE1187B9AEC6C",32.58507,"Mississippi",-89.87374,"The Jackson Southernaires",0.0,356.10077,7,0.148,92.555,4,0.919,"Lord We Give You All The Praise",0,4f91f760-85f6-4603-9b60-15789000e256,0.0,0.323008990953,0.311437640327,0.313,7,0.148,-10.65,0,0.378,346.668
514,"SOLAZIP12AB017F246",635129,"LOAF Presents: Domestic POP","ARHAMVP1269FCD2C1C",,"",,"Supertalented",0.0,96.65261,0,0.755,115.954,1,0.0,"Fax Me",0,,0.0,0.244272111795,0.0,0.305,0,0.755,-8.518,1,0.681,89.861
515,"SOTODXV12AB017E98D",620643,"30 Days In The Hole (Live & Dangerous)","ARPISA41187FB3DE42",51.77045,"Essex England",0.64255,"Humble Pie",0.0,469.44608,2,0.278,132.598,4,0.611,"30 Days In The Hole (Live)",0,696989bc-c9a8-4ba8-a99b-b8015dba577f,0.0,0.63354599875,0.402495879987,0.165,2,0.278,-7.033,1,0.385,457.172
516,"SOAFUPM12A6D4FD26F",271629,"Feelin' Kinda Patton","AR20BO61187B9B880E",36.83264,"Portsmouth VA",-76.29771,"Patton Oswalt",0.0,121.96526,8,0.345,75.669,3,0.665,"A Brief History of Shitty Comedy",2004,d9562589-942d-4971-a030-77df0503366d,0.0,0.592797346267,0.453629718069,0.0,8,0.345,-13.322,0,0.341,116.796
517,"SOMSUOA12A67FFB3A1",68737,"Red Gone Wild","ARXWAQQ1187B9AE954",,"Newark NJ",,"Redman / Hurricane G / Melanie Rutherford",0.0,113.65832,2,0.557,109.265,3,1.0,"Soopman Luva 6 1/2",0,1f1f6737-b930-46fc-8d25-110bb99f7490,0.0,0.743129776148,0.493566842697,0.0,2,0.557,-10.152,1,0.487,100.223
518,"SONLOMJ12AB0181700",462098,"Gaitas Platinum","ARQWJ1D1187B990964",,"",,"Barrio Obrero",0.0,231.47057,5,0.357,182.962,3,0.0,"Un Ojo Dimos",0,5dfa9707-bd53-480c-87fe-41adc3f35a25,0.0,0.401020176248,0.297320738187,0.0,5,0.357,-7.797,1,0.193,223.898
519,"SOZSAZR12A8C13E9EF",214868,"Footprints In The Sand","ARF3XJD1187FB38DE0",40.69214,"Peoria IL",-89.58776,"Cristy Lane",0.0,196.80608,7,0.812,86.142,4,0.124,"Making Up For Lost Time (Footprints In The Sand Album Version)",0,9a387547-5fb6-4e14-95d0-c2e2bde7e138,0.0,0.420615972388,0.337920750252,0.0,7,0.812,-12.118,1,0.724,190.723
520,"SOKUBEF12A6D4FA3B8",234421,"The First Two Albums","ARRJNTE1187FB44E12",,"",,"Casiotone For The Painfully Alone",0.0,51.01669,0,0.276,78.16,1,0.0,"Dying Batteries",2001,73d882c7-1146-4012-a61b-a3b2c11fce2f,0.0,0.665322161906,0.394217198901,0.088,0,0.276,-20.499,1,0.707,47.183
521,"SOKKMRS12A67ADD134",69820,"Holding A Wolf By The Ears","ARWR6RK1187FB3AB52",,"Long Island NY",,"From Autumn To Ashes",0.0,175.80363,2,0.439,93.061,4,0.581,"Sensory Deprivation Adventure",2007,a6bfadac-d028-4bda-a5b2-e1468f556569,0.0,0.71426853252,0.50545315343,0.061,2,0.439,-5.911,0,0.536,166.429
522,"SOIIZIX12A6D4F799D",22379,"Methods Of Mayhem","ARU35NK1187FB46CFD",,"",,"Methods Of Mayhem / Scott Kirkland",0.0,199.31383,1,0.222,116.04,4,0.899,"Narcotic",1999,a5f8887e-e178-4969-ba9a-18a64156c42f,0.0,0.368308139657,0.39764783017,0.0,1,0.222,-3.246,1,0.275,196.4
523,"SOTYBQB12A8C139F0C",95078,"America's bugle calls","ARCVMYS12454A51E6E",,"",,"The Sun Harbor's Chorus-Documentary Recordings",0.0,59.32363,10,0.031,36.151,1,0.0,"Taps",0,,0.0,0.41994127477,0.24913722954,0.411,10,0.031,-25.678,1,0.21,59.324
524,"SOEHTZE12A6310F0F2",307,"In My Place","ARJ7KF01187B98D717",,"",,"Coldplay",0.0,274.41587,2,0.194,134.027,4,0.135,"One I Love",2002,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.0,0.8650215115,0.916053228284,0.322,2,0.194,-7.446,1,0.482,258.305
525,"SONDAME12A6D4F9352",51357,"Ed Byrne - Pedantic and Whimsical","ARI8ECO119B3403C34",,"",,"Ed Byrne",0.0,330.63138,7,0.354,77.99,4,0.618,"Who's Your Daddy?",0,c768e73f-2040-4aab-82e9-45e37d5ce4ef,0.0,0.400952448429,0.357817074252,2.949,7,0.354,-8.366,1,0.434,325.114
526,"SOSWYWM12AB018A072",711892,"The History Of House Parties_ vol. 3","ARZH3SW1187B98C96E",,"",,"Onyx",0.0,317.46567,11,0.161,85.541,5,1.0,"The Force",0,fc0fa262-6197-4c29-8e22-22f0e369856a,0.0,0.636582379001,0.421287262511,0.0,11,0.161,-12.908,1,0.565,311.856
527,"SOGDJTG12AC960A37D",602698,"Maiden's Prayer","ARU0HTX1187B98B4C6",34.05349,"California - LA",-118.24532,"Lisa Lynne",0.0,261.95546,9,0.771,106.009,4,0.729,"Still I Will",2001,4bf9b00d-5f32-4b6f-badb-ad7bda086cb9,0.0,0.605139699964,0.420937754837,0.188,9,0.771,-9.559,0,0.693,240.506
528,"SOCDZDT12A6D4F8F73",29026,"These Foolish Things","ARIZODP1187B9AD272",54.89814,"Washington England",-1.53179,"Bryan Ferry",0.0,253.12608,4,0.223,116.36,4,0.863,"Don't Worry Baby (1999 Digital Remaster)",1973,4ef7a9e2-2cf5-483a-8616-ef7791a98026,0.0,0.694802519782,0.561830537939,0.194,4,0.223,-8.662,1,0.315,226.197
529,"SOQUGRT12A6701DD47",14561,"Dry & Heavy","ARJ2PMY1187FB5B563",,"NY - Long Island",,"Burning Spear",0.0,185.5473,0,0.495,122.376,4,0.0,"It's A Long Way Around",1977,16dad944-c492-43dd-88ed-e0b7ac520c40,0.0,0.674237799591,0.465270210086,0.531,0,0.495,-19.633,1,0.493,175.572
530,"SODRLDV12A8C13D25E",258315,"Ain't It Beautiful","ARWC3XN1187B9A8D82",40.71455,"NY - New York City",-74.00712,"ZO2",0.0,276.4273,7,0.083,150.715,4,0.722,"Isolate",2007,bccf45e7-bca3-45c7-ae7b-c8b0ee7e7fa3,0.0,0.595660904741,0.345241136759,0.357,7,0.083,-4.098,1,0.303,264.319
531,"SOELMDY12A6D4FB18A",57839,"Last Night In Town","ARCP94M1187B9B0F56",42.88544,"Buffalo New York",-78.87846,"Every Time I Die",0.0,171.59791,9,0.538,93.458,1,0.0,"California_ Gracefully",2001,ef90f210-f136-4386-ab37-8c00d04eeace,0.0,0.842423318067,0.564855750477,0.0,9,0.538,-4.029,1,0.346,166.487
532,"SOUWONL12A8C13EA27",78740,"Viva Las Violence","ARXDOUQ11F50C4A239",,"",,"Wednesday 13's Frankenstein Drag Queens From Planet 13",0.0,239.20281,0,0.595,149.551,1,0.0,"Bark At The Moon (Album Version)",0,,0.0,0.565161778133,0.371447105854,2.038,0,0.595,-3.587,1,0.63,219.829
533,"SODXVQZ12AC468707A",699549,"Degenerate Fuck Crew","ARWMZYB1187FB480A7",4.65637,"Bogotá D. C. Colombia",-74.11779,"The Aftermath",0.0,118.30812,8,0.369,166.648,4,0.0,"Might As Well Laugh",0,eed28ccb-d0ea-46b0-a664-b18c2a2430c0,0.0,0.561003950198,0.33892034497,0.16,8,0.369,-10.386,0,0.513,112.715
534,"SOKVKEC12AB0186B68",765362,"Close Calls With Brick Walls / Mother of Mankind","ARW2U4O1187FB4408B",,"New York NY",,"Andrew W.K.",0.0,165.51138,2,0.0,120.153,4,0.0,"Don't Call Me Andy",2006,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,0.0,0.698532476696,0.509456000853,0.343,2,0.0,-3.378,1,0.0,165.511
535,"SOTKEUY12AB017E3E3",534407,"Hushabye Baby : Lullaby Renditions of Country Music Favorites Volume 1","ARBMHBC11F4C8403A2",,"",,"Hushabye Baby",0.0,227.52608,3,0.245,147.853,4,0.323,"So Small (Lullaby Rendition of Carrie Underwood)",0,,0.0,0.353429550222,0.365514003263,0.467,3,0.245,-22.803,1,0.474,217.252
536,"SOUATDY12AB0185157",394700,"No Line On The Horizon","ARUJ5A41187FB3F5F1",,"Dublin Ireland",,"U2",0.0,316.96934,7,0.537,187.844,4,0.543,"FEZ-Being Born",2009,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,0.0,0.843526543333,0.825639110796,3.454,7,0.537,-7.896,1,0.428,306.556
537,"SOBRUSQ12A6701DF34",14219,"The Woman In Me","ARUJZFJ1187B9B135F",,"Timmins Ontario Canada",,"Shania Twain",0.0,278.54322,6,0.847,82.789,5,0.372,"Raining On Our Love",1995,faabb55d-3c9e-4c23-8779-732ac2ee2c0d,0.0,0.870033796618,0.546326119552,0.0,6,0.847,-11.958,1,0.844,266.437
538,"SOWFOMV12AB017D884",630620,"Chupi Guay - Canciones para jugar  CD 1","AR99OWM11C8A4149FD",46.25605,"Valais/Suisse",7.6244,"Arco Iris",0.0,201.03791,4,0.688,131.857,4,0.811,"Felicidades",0,ab30a356-59f4-435e-bc1c-2d2a1f95b8c5,0.0,0.401847574658,0.315453462689,0.0,4,0.688,-8.415,1,0.571,193.608
539,"SOCCMDY12AB01877A8",570577,"101 Great Black Gospel_ Vol. 4","ARNG61X1187B98C7DF",33.43451,"Talladega AL",-86.10269,"Five Blind Boys of Alabama",0.0,131.81342,10,0.529,93.417,4,1.0,"I've Got a Home",2008,2f76bd85-ba19-4d80-9bb7-4555abe463c5,0.0,0.54227770981,0.424271114446,0.525,10,0.529,-7.495,1,0.517,127.675
540,"SOICTFT12AB0187B69",560096,"No Compromise","ARQXJW51187B9AEE27",44.00118,"New Hampshire",-71.6342,"Since The Flood",0.0,117.08036,2,0.308,189.987,4,0.622,"All For Nothing",2007,7bc3edb1-75a1-414b-b519-4b8d8d3b985d,0.0,0.739435997277,0.361878509783,0.0,2,0.308,-2.191,1,0.453,112.948
541,"SOIMYXI12AB018106C",343568,"Freedom","ARCGJ6U1187FB4D01F",,"St. Louis MO",,"Akon",0.0,266.89261,5,0.545,126.983,4,1.0,"Over The Edge",2008,1138a764-2212-4d0a-b02d-0dc14df91e08,0.0,1.0,0.826777013491,0.0,5,0.545,-6.102,0,0.595,261.683
